Designator,Val,Package,MidX,MidY,Rotation,Layer
C5,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,135.636,-81.543,270,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,131.572,-95.259,270,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.915,-87.503,180,top
R1,470,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.604,-95.241,90,top
R2,470,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.915,-85.344,180,top
SW1,SW_Push,SW_Push_1P1T_NO_CK_KSC6xxJ,140.208,-94.488,180,top
U1,STM32F042F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,143.256,-85.598,270,top
